,supplier_name,water_usage_per_capita,total_population_served,reported_final_total_potable_water_production,final_percent_residential_use,reported_recycled_water,percent_non_revenue,climate_zone,county_under_drought_declaration,precip,ETo_mm,max_temp,min_temp,avg_temp,palmer_hydro,palmer_z_index,DissolvedOxygen,pH,ElectricalConductance,cluster,pca_1,pca_2
0,Adelanto City Of,563.7346810376143,30637.35238095238,17367678.06857143,64.37057142857142,0.0,0.010858516601905212,14,0.21904761904761905,1.6436666666666668,128.33768360242962,72.85714285714286,47.705714285714286,60.287619047619046,-2.3221904761904764,-0.552952380952381,8.792324675324675,8.337352444007907,148.0,0,0.15758807210779308,1.0495623478491316
1,Alameda County Water District,0.0031115319698562694,351080.9906542056,1093.0028037383179,70.26822429906542,0.0,0.07376401596838522,3,0.21495327102803738,1.6526635514018693,125.93454054580016,72.38411214953271,47.3177570093458,59.85794392523365,-2.3350467289719625,-0.5698130841121495,8.849893525477638,8.186105453236552,576.0,0,1.7951914003397256,0.5558414907505415
2,Alco Water Service,0.003500606667138792,29767.064814814814,104.20774074074073,84.55092592592592,0.0,0.5216494534540415,3,0.21296296296296297,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.866666666666667,8.235563092375337,148.0,0,0.4362670862057827,0.28730051401375617
3,Alhambra  City Of,0.008923062449928484,85100.31325301205,759.3678045421688,85.74626506024096,0.0,0.0656171130972772,9,0.2289156626506024,1.5926506024096385,127.63581383304918,72.9578313253012,47.679518072289156,60.32289156626506,-2.8218072289156626,-0.6898795180722891,8.838298909925415,8.393508797093135,148.0,1,-1.7524672278571052,1.866485086489792
4,Amador Water Agency,0.004005776397872608,23083.556603773584,92.33537735849056,57.47981132075471,3.548490566037736,0.9041859125821373,12,0.1792452830188679,1.6546698113207547,126.0630990459481,72.54150943396226,47.43207547169811,59.994339622641505,-2.4766981132075467,-0.5965094339622642,8.866666666666667,7.788879112243376,148.0,0,0.18794191936363547,-0.7420036827385126
5,"American Canyon, City Of",0.01108206786901799,20491.267441860466,226.8170930232558,55.11976744186047,13.968953488372092,5.6368893406762,2,0.23255813953488372,1.585406976744186,124.76353499837778,72.87325581395349,47.604651162790695,60.24767441860465,-3.1190697674418604,-0.8136046511627907,8.534302325581395,8.029253488711982,148.0,1,-3.3902581507875738,0.4190231049844394
6,Anaheim  City Of,0.013070137673205124,362483.5504587156,4738.926605504587,55.63302752293578,0.40733944954128437,0.0038952788514538907,8,0.1743119266055046,1.625091743119266,126.0476804776706,72.41651376146788,47.27706422018348,59.85412844036698,-2.398440366972477,-0.6284403669724771,8.866666666666667,8.194670614596916,148.0,0,1.067897470773284,0.9639635440637293
7,"Anderson, City Of",0.024325631561571387,11033.572916666666,270.3992395833333,68.52625,0.0,2.6326075918639753,11,0.20833333333333334,1.63375,130.04512607375116,72.871875,47.63958333333333,60.26458333333333,-2.49125,-0.5176041666666668,10.188649419998915,8.127212415020432,148.0,0,-1.0550577041872986,0.14515350341717626
8,Antioch  City Of,0.0035373212539890437,111892.39252336448,395.60067289719626,73.02626168224299,0.2644672897196262,0.07218382630798233,12,0.1308411214953271,1.6439719626168225,126.2566993802734,72.5018691588785,47.38317757009346,59.950467289719626,-2.4245794392523363,-0.6081308411214954,13.16765503127137,7.779628164497013,148.0,0,0.4372143637475234,-1.0611185548142879
9,Apple Valley Ranchos Water Company,5.656499881912345,62602.0,354108.20560747664,68.61560747663552,0.0,0.0001892090480214772,14,0.1308411214953271,1.6439719626168225,126.2566993802734,72.5018691588785,47.38317757009346,59.950467289719626,-2.4245794392523363,-0.6081308411214954,8.815209572359105,8.34303414653882,148.0,0,0.8040331180684982,0.7179200829328586
10,Arcadia  City Of,0.0202537398957495,57259.878787878784,1154.1749494949495,75.01919191919191,0.0,0.10104585173865592,9,0.20202020202020202,1.6471212121212122,125.98035793040611,72.5959595959596,47.44040404040405,60.027272727272724,-2.4274747474747476,-0.5907070707070707,8.596430976430977,8.325143266775381,148.0,0,0.6720398892061792,0.779083439628895
11,Arcata  City Of,0.0026955682474250364,18903.34259259259,50.87631481481481,52.30555555555556,0.0,1.5378399668934974,1,0.18518518518518517,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,10.526011169900059,8.010710011734375,148.0,0,0.028852034712245206,-0.4344800622409812
12,Arroyo Grande  City Of,0.010410652437510014,17539.58878504673,182.37476635514017,79.83644859813084,0.0,0.5187159508291952,5,0.17757009345794392,1.634532710280374,127.34231536327106,72.65233644859813,47.51775700934579,60.09252336448598,-2.3585981308411217,-0.6014018691588785,9.98,7.801824626077899,148.0,0,-0.2592062822945774,-0.6361557534685788
13,Arvin Community Services District,2218.9270874335466,21272.435185185186,48046772.30774074,74.96296296296296,0.0,0.18266128868847506,13,0.2037037037037037,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.90671453623537,8.195404057105447,148.0,0,0.11240174270143248,-0.4729310143320396
14,Atascadero Mutual Water Company,0.004169378562254268,32101.384615384617,133.92932692307693,76.49038461538461,0.29423076923076924,1.9613682422913494,4,0.14423076923076922,1.6077403846153848,125.83176365835862,72.54711538461538,47.42115384615385,59.99038461538461,-2.33125,-0.6471153846153845,9.98,8.00996385385448,148.0,0,-0.3753841316001696,-0.030194585130968572
15,Atwater  City Of,5776.694881888497,30441.666666666668,177214770.8961111,75.04629629629629,0.0,0.04861557365279696,12,0.19444444444444445,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.090333076131687,7.775305649083427,148.0,0,-0.3119564506773461,-2.1883593904681673
16,Azusa  City Of,5.923200748710066,107806.92592592593,638060.6425,53.98148148148148,0.0,0.001141972102172998,9,0.1574074074074074,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.689739858906526,8.347910420340977,148.0,0,0.9316366673562294,1.0860271869539342
17,Bakersfield  City Of,9.479842656894748,151996.35185185185,1438388.7222222222,74.19993981481481,336.90092592592595,3.1459668818813244e-05,13,0.1574074074074074,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.90671453623537,8.193922575623965,148.0,0,0.9355896988184861,0.6891113647622681
18,Bakman Water Company,5185.7439229720185,16437.98113207547,84493154.33726415,78.30188679245283,0.0,1.0244306006209793e-06,13,0.18867924528301888,1.6546698113207547,126.0630990459481,72.54150943396226,47.43207547169811,59.994339622641505,-2.4766981132075467,-0.5965094339622642,5.052452830188678,7.9021764554218645,148.0,0,-0.11707991440522278,-1.5901397377621593
19,Banning  City Of,0.020055312930751575,30571.093457943924,612.9716822429907,56.85514018691589,0.0,0.5636796843454477,15,0.14953271028037382,1.6439719626168225,126.2566993802734,72.5018691588785,47.38317757009346,59.950467289719626,-2.4245794392523363,-0.6081308411214954,8.412461059190031,8.276036408916875,148.0,0,0.5413040172572035,0.5056504780757031
20,Beaumont-Cherry Valley Water District,0.021432331920421037,50881.97169811321,1054.7971358490565,67.5377358490566,0.0,0.08233400957617182,10,0.18867924528301888,1.6425,126.0630990459481,72.5122641509434,47.407547169811316,59.966981132075475,-2.373301886792453,-0.6144339622641509,8.42248427672956,8.294503489637291,148.0,0,0.7983073461756012,0.6905408857230096
21,Bella Vista Water District,0.03532725262444476,18448.58024691358,651.0246913580247,49.001234567901236,0.0,0.12938435082910082,11,0.24691358024691357,1.6701234567901235,123.4787958748574,72.09382716049383,46.983950617283945,59.54567901234568,-2.887901234567901,-0.6995061728395061,10.15738672949539,8.165392446291726,148.0,0,0.4659303816186729,-1.2377471998631964
22,Bellflower-Somerset Mutual Water Company,0.00874085504935306,46300.0,404.70158878504674,82.88785046728972,0.10962616822429908,0.7126084640006063,8,0.14953271028037382,1.651728971962617,126.88223447125557,72.51308411214953,47.43364485981308,59.9803738317757,-2.408785046728972,-0.5886915887850468,8.711840231419671,8.311624536418929,148.0,0,0.8226255226632978,0.41598710887529455
23,Benicia  City Of,0.012170529634946336,28086.0,341.8214953271028,54.0,0.0,0.2453160971297209,12,0.19626168224299065,1.6439719626168225,126.2566993802734,72.5018691588785,47.38317757009346,59.950467289719626,-2.4245794392523363,-0.6081308411214954,13.013474143170646,7.70939367528442,450.1066920041537,0,-0.010144703453776703,-1.4175637021625722
24,Beverly Hills  City Of,0.018066586355051706,44447.26168224299,799.4007476635514,70.1214953271028,0.0,2.1268782315776913,9,0.19626168224299065,1.650514018691589,126.52855703847253,72.52056074766355,47.43551401869159,59.98598130841121,-2.3498130841121494,-0.5820560747663551,8.686706720071207,8.345085615837952,148.0,0,0.8251781453325788,0.5215724138755814
25,Big Bear City Community Services District,0.006552647840668582,12518.77358490566,82.03051886792453,95.8116037735849,0.0,4.283797593167599,16,0.20754716981132076,1.646367924528302,126.93965659960824,72.63207547169812,47.490566037735846,60.068867924528305,-2.403867924528302,-0.5854716981132075,8.81503859348199,8.344917487543903,148.0,0,-0.10487694516316846,0.09738687794319834
26,Blythe  City Of,171.92583040317388,13219.948453608247,2092515.2045670103,62.736804123711345,0.0,8.326079760930346,15,0.13402061855670103,1.7160309278350516,127.01697462316653,72.42577319587629,47.374226804123715,59.909278350515464,-2.5309278350515463,-0.5160824742268042,8.447766323024055,8.335324481932728,148.0,0,1.1049560376913123,-1.0441598715323988
27,Brawley  City Of,0.005743177137779522,27635.314814814814,158.64462962962963,64.42246296296297,0.0,0.9479562123658573,15,0.2037037037037037,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.866666666666667,8.189971180388541,148.0,0,0.36518044134689726,0.2698038666003996
28,Brea  City Of,0.01828557852703655,43317.84259259259,790.472037037037,50.851851851851855,0.0,0.0681877717330583,8,0.1574074074074074,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.866666666666667,8.225893678909184,148.0,0,0.5830590286616328,0.5943083471209762
29,Brentwood  City Of,0.0044680675633083245,61614.305555555555,275.5296574074074,76.99777777777778,18.702129629629628,2.806850406761651,12,0.18518518518518517,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,13.230917484685522,7.777006607418337,148.0,0,0.014563661531863902,-1.3079525008343318
30,Buena Park  City Of,0.013068691449532837,82776.25742574257,1081.9138613861387,58.95049504950495,0.0,0.04926149815949379,8,0.18811881188118812,1.5435643564356436,129.93456387328493,73.17623762376238,47.834653465346534,60.51188118811881,-2.442277227722772,-0.6731683168316831,8.866666666666667,8.311715829522196,148.0,1,-2.322742106126185,2.8836022734666464
31,Burbank  City Of,0.012278099286075064,105553.01,1295.867,72.9338,5.6,0.0611164285000249,9,0.19,1.65965,126.37776242635768,72.383,47.31,59.855,-2.6448,-0.632,8.74532380952381,8.331255968253968,148.0,0,0.9856144557140898,0.34227997580748676
32,Burlingame  City Of,3077.752427518904,31259.284403669724,95937896.26201834,61.7943119266055,0.0,0.3279277351993064,3,0.2018348623853211,1.625091743119266,126.0476804776706,72.41651376146788,47.27706422018348,59.85412844036698,-2.398440366972477,-0.6284403669724771,3.4235779816513765,7.812751501245506,148.0,0,0.09527408113326247,-0.5238060005102063
33,Calaveras County Water District,0.0045291238143886055,29925.102564102563,131.4821794871795,73.71111538461538,5.103807692307692,17.804207156988337,16,0.1794871794871795,1.6337179487179487,122.93834889580725,72.30512820512821,47.174358974358974,59.746153846153845,-2.9323076923076923,-0.7746153846153846,10.51525641025641,8.11153809268333,148.0,1,-1.8706389957626521,-1.872699861383163
34,Calexico  City Of,0.004325160641391482,39987.708333333336,172.96270833333332,73.20145833333333,0.0,0.46082067737566,15,0.11458333333333333,1.5533333333333335,130.37323829450114,73.78958333333334,48.37083333333334,61.08958333333334,-2.5938541666666666,-0.6519791666666667,8.866666666666667,8.296689378156566,148.0,1,-3.7376800934725094,3.434975397598405
35,California City  City Of,0.02549667036982931,14105.009523809524,359.08838095238093,58.1432380952381,33.18533333333333,13.902853066845344,14,0.18095238095238095,1.6155238095238096,126.34648349891793,72.72380952380952,47.551428571428566,60.1447619047619,-2.539714285714286,-0.6590476190476191,8.9008377860235,8.198930505821446,148.0,1,-1.890035548150277,-0.18435683312187648
36,California Water Service Company Antelope Valley,0.0153538390557013,3411.1296296296296,52.3949074074074,91.30833333333332,0.0,1.7585708816612655,14,0.21296296296296297,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.866666666666667,7.76184892416448,148.0,0,-0.5465038849972785,-1.3545980798229091
37,California Water Service Company Bakersfield,0.017470702637969973,283171.06481481483,4942.122222222221,68.58148148148149,0.0,0.01770571679784803,13,0.21296296296296297,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.90671453623537,8.204314578990967,148.0,0,1.1273369745921094,0.9001588579928097
38,California Water Service Company Bear Gulch,0.015609298022952599,62227.15740740741,965.4314814814816,86.025,0.0,0.09874900639601181,13,0.21296296296296297,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,3.423888888888889,8.271998193837051,148.0,0,1.0008913907518877,1.4593240919539636
39,California Water Service Company Chico District,0.01606639675770459,107159.13888888889,1719.3694444444443,71.83148148148149,0.0,0.051989088823565205,11,0.21296296296296297,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.866666666666667,8.115631228765356,148.0,0,0.7904145890991269,0.46026285203260764
40,"California Water Service Company Dixon, City Of",0.010172788979045746,10255.62037037037,104.26944444444445,87.54629629629629,0.0,0.7884318402155008,12,0.21296296296296297,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,13.078164197400547,7.7086613901272205,452.4174325102881,0,-0.4074387534766877,-1.8034273576910786
41,California Water Service Company Dominguez,0.016881071897850236,142946.12037037036,2412.4046296296297,37.925000000000004,0.0,0.032584869355608885,6,0.18518518518518517,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.689739858906526,8.336794875563394,148.0,0,1.0121213235361524,1.2302562941472204
42,California Water Service Company East Los Angeles,0.00765163695089815,153354.62037037036,1172.7351851851852,53.58148148148148,0.0,0.06632152639350655,9,0.18518518518518517,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.689739858906526,8.30463729548521,148.0,0,1.0098301141516866,1.0826641696973742
43,California Water Service Company Hermosa/Redondo,0.009252167665623883,96208.93518518518,890.0120370370371,76.94537037037037,0.0,0.08783797615884688,6,0.18518518518518517,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.689739858906526,8.336148552322165,148.0,0,0.8803698551927618,0.8893769987486739
44,California Water Service Company Kern River Valley,0.011330706142337775,5495.027777777777,62.361111111111114,86.54814814814816,0.0,1.3290096617419092,16,0.21296296296296297,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.90671453623537,8.210123107174033,148.0,0,-0.13928806055419196,-0.25213546734568604
45,California Water Service Company King City,0.008429341798914023,15427.611111111111,129.82222222222222,54.333333333333336,0.0,0.6253853929682314,4,0.21296296296296297,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.866666666666667,8.336264251898852,148.0,0,0.2939744961604393,0.5135292304521708
46,California Water Service Company Livermore,0.011611970617327376,59220.32407407407,687.8462962962963,76.7398148148148,0.0,0.12977545592101022,12,0.21296296296296297,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.848902447860782,8.183405773292138,576.0,0,0.6439265327163365,0.4235231448832818
47,California Water Service Company Los Altos/Suburban,0.013666980495620377,69807.27777777778,953.6175925925926,74.85185185185185,0.0,0.09275985418251011,4,0.21296296296296297,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,9.644305555555556,8.21200346888194,148.0,0,0.6676546677427616,0.40659076618642503
48,California Water Service Company Marysville,0.012787604044000252,12241.305555555555,156.52592592592592,65.89722222222223,0.0,0.5452219779756009,11,0.21296296296296297,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,10.328504629629629,8.082975978368339,148.0,0,0.01477480868458707,-0.3782547068846097
49,California Water Service Company Mid Peninsula,0.00829742506656625,136256.25925925927,1129.8916666666667,73.20833333333333,0.0,0.07133354686805143,3,0.21296296296296297,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,3.423888888888889,8.286619519383263,148.0,0,1.246932185137757,1.7630112573444823
50,California Water Service Company Oroville,0.018836852501382954,10991.62962962963,206.96481481481482,42.70648148148148,0.0,0.4690554504651763,11,0.21296296296296297,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,9.526890799529689,7.334015252449733,57.46666666666667,0,-0.35704386900714113,-1.6887318629144639
